"Relative Time","Throughput"
"00:00","0"
"00:08","454954.4"
"00:16","462338.3"
"00:24","9180.875"
"00:32","459850.3"
"00:40","13340.25"
"00:48","466384.6"
"00:56","21217"
"01:04","477041"
"01:12","21501"
"01:20","17678.88"
"01:28","22189.13"
"01:36","21411.75"
"01:44","11613"
"01:52","21359.63"
"02:00","19493.25"
"02:08","6636"
"02:16","17004.75"
"02:24","3318"
"02:32","16590"
"02:40","6843.375"
"02:48","24677.63"
"02:56","18041.63"
"03:04","21981.75"
"03:12","21152.25"
"03:20","19493.25"
"03:28","23848.13"
"03:36","12027.75"
"03:44","21567"
"03:52","12027.75"
"04:00","14101.5"
"04:08","14308.88"
"04:16","11405.63"
"04:24","21567"
"04:32","18041.63"
"04:40","22396.5"
"04:48","24885"
"04:56","19078.5"
"05:04","14723.63"
"05:12","21152.25"
"05:20","14101.5"
"05:28","10783.5"
"05:36","3318"
"05:44","3318"
"05:52","6636"
"06:00","0"
"06:08","26544"
