"Relative Time","Hits"
"00:00","0.25"
"00:04","3.75"
"00:08","0.5"
"00:12","3.25"
"00:16","0.5"
"00:20","1.75"
"00:24","1.25"
"00:28","0"
"00:32","0"
"00:36","2.75"
"00:40","0.75"
"00:44","6.75"
"00:48","1"
"00:52","3"
"00:56","1.75"
"01:00","3"
"01:04","6.75"
"01:08","3"
"01:12","6"
"01:16","5.75"
"01:20","5"
"01:24","7"
"01:28","7.75"
"01:32","3.25"
"01:36","12.25"
"01:40","2"
"01:44","11.75"
"01:48","2"
"01:52","9.25"
"01:56","2.75"
"02:00","9.5"
"02:04","2.75"
"02:08","5.25"
"02:12","5.75"
"02:16","3.5"
"02:20","4"
"02:24","5"
"02:28","2.25"
"02:32","8.25"
"02:36","3"
"02:40","7.5"
"02:44","0.5"
"02:48","3.25"
"02:52","3.25"
"02:56","5.75"
"03:00","4.333"
