"Relative Time","Throughput"
"00:00","0"
"00:04","911930.5"
"00:08","0"
"00:12","886878.3"
"00:16","1087347"
"00:20","1566003"
"00:24","321768.8"
"00:28","378030.3"
"00:32","0"
"00:36","210600.5"
"00:40","888075"
"00:44","1778966"
"00:48","886879.8"
"00:52","902199.5"
"00:56","1556992"
"01:00","1473200"
"01:04","3379873"
"01:08","438157.5"
"01:12","2216817"
"01:16","4206665"
"01:20","3429113"
"01:24","1873457"
"01:28","1635598"
"01:32","3851258"
"01:36","4847521"
"01:40","3298375"
"01:44","886193.3"
"01:48","4226513"
"01:52","5249294"
"01:56","3559690"
"02:00","894385.8"
"02:04","3136302"
"02:08","3819882"
"02:12","2591945"
"02:16","1230210"
"02:20","1127860"
"02:24","3330756"
"02:28","2331624"
"02:32","2867702"
"02:36","2159558"
"02:40","2416392"
"02:44","2068369"
"02:48","2722850"
"02:52","829548.3"
"02:56","3385748"
"03:00","2356864"
